Key,Value
SCENARIO_CW_QUEST_C_10_DESC,Người của ta cần thêm cá. Hãy mang cho ta một ít và ta sẽ cho ngài gỗ! Ta cũng sẽ tha cho ngôi làng nhỏ của ngài.
SCENARIO_CW_QUEST_C_20_DESC,"Thưa, Thống đốc! Ta muốn giúp ngài bằng cách lấy bớt một số đá nặng ra khỏi kho của ngài. Nếu ngài cho phép tôi làm điều đó, ta sẽ đưa cho ngài một ít gỗ."
SCENARIO_CW_QUEST_C_30_DESC,"Trước khi lãng phí lúa bằng cách cho nông dân của ngài, ngài nên cho ta và ta sẽ đưa cho ngài loại gỗ tốt nhất của ta."
SCENARIO_CW_QUEST_C_40_DESC,"Người của ta muốn làm mềm tay cầm kiếm của họ bằng len. Đừng lo, nếu ngài hợp tác, ta sẽ không để họ sử dụng chúng chống lại ngài đâu."
SCENARIO_CW_QUEST_C_50_DESC,"Người của ta đang cảm thấy chán chường. Nếu ngài cung cấp cho ta một số da, ta có thể cải thiện bù nhìn rơm để chúng trông thực tế hơn. Nếu ngài không muốn trao đổi với ta, có lẽ người dân của ngài sẽ thay thế được đó."
SCENARIO_CW_QUEST_C_60_DESC,"Một trong những người của ta bị ốm. Ta nghe nói rằng thảo dược có thể giúp anh ta. Nếu ngài không muốn gặp rắc rối, một chút giúp đỡ nho nhỏ sẽ không khiến ngài phiền hà đâu nhỉ, ngài Thống Đốc."
SCENARIO_CW_QUEST_C_70_DESC,"Công cụ của bọn ta không còn sử dụng được nữa. Mà ta thấy Ngài có nhiều công cụ lắm, Thống đốc. Ta sẽ chờ ngài hào phóng giúp đỡ bọn ta, không cần phải để tự tay bọn ta tới lấy nhỉ."
SCENARIO_CW_QUEST_C_80_DESC,"Người của ta đang thèm một chút thịt tươi đó. Cống nạp cho bọn ta, số gỗ này sẽ là của ngài. Nếu ngài không muốn trao đổi, bọn ta sẽ tự tìm cách để lấy.\n\nNgài biết đâu là lựa chọn tốt mà, ngài Thống Đốc."
SCENARIO_CW_QUEST_C_NAME,Trao đổi với kẻ cướp.
SCENARIO_CW_QUEST_C_START_01_DESC,"À, một Thống đốc mới... Vì ngài mới đến đây, ta nên giải thích luật lệ nhỉ. Ở đây ta làm chủ. Ngài đưa cho ta những gì ta yêu cầu, ta sẽ để ngài có chút tự do ở vùng đất này.\n\nNghe có vẻ là một thỏa thuận công bằng, phải không? Không nhiều lời, yêu cầu đầu tiên của ta: Mang cho ta một ít cá!"
SCENARIO_CW_QUEST_C_START_02_DESC,"Thiếu gỗ sao? May mắn mắn cho Ngài rồi. Ta mới trộ...E hèm, chỗ ta có đủ số gỗ mà Ngài cần đó. Một chút đá cho cuộc giao dịch này nhỉ."
SCENARIO_THIEF_FAIL,"Ồ, có vẻ Ngài không thích làm ăn với bọn ta đó nhỉ? Được thôi, Hãy xem ta chuẩn bị món quà gì cho Ngài nhé, ngài Thống Đốc."
THEBEAST_ATK_002_SCENE_ADVISOR_ITEMS_EXPERT_QUEST,"Ngài Thống Đốc, xem chúng ta có gì này... Một chiếc răng! À thì cũng không bất ngờ với ngài lắm, nhưng nó không phải của con người. Và một chút nấm cục nữa! Tôi thì chẳng có hiểu biết gì về chúng, nhưng tôi biết ai đó có thể giải đáp cho tôi và Ngài. Hãy đi gặp lão già."
THEBEAST_CHOICE_A_ACOLYTE_DESC,Còn ai ngoài thương gia có thể đổ lỗi cho dân ta đến như vậy chứ? Ông ta là một kẻ tùy tùng!
THEBEAST_CHOICE_A_ACOLYTE_TITLE,Thương gia!
THEBEAST_CHOICE_A_COUPABLE_DESC,Có lẽ là cô gái trẻ đó! Cô ấy là em gái của Townette đã bị trục xuất. Đó là một động cơ!
THEBEAST_CHOICE_A_COUPABLE_TITLE,Cô thiếu nữ trẻ!
THEBEAST_CHOICE_A_REASON_DESC,Cô gái trẻ bị trục xuất sai lầm bởi Nữ hoàng đã gây ra những cuộc tấn công này. Cô ấy muốn trả thù vì sự lưu đày của mình.
THEBEAST_CHOICE_A_REASON_TITLE,M trong Mối thù truyền kiếp!
THEBEAST_CHOICE_B_ACOLYTE_DESC,"Hành trình của làng tìm kiếm sự phồn thịnh đã biến thành một cơn ác mộng... Anh ta có lẽ không thấy có hại gì, chỉ đơn giản muốn giúp đỡ hàng xóm của mình."
THEBEAST_CHOICE_B_ACOLYTE_TITLE,"Hector, người họa sĩ!"
THEBEAST_CHOICE_B_COUPABLE_DESC,Chắc chắn là anh ấy! Anh ta ghét những người mới đến và tấn công vào em gái của cô gái bị trục xuất để đảm bảo rằng cô ấy không thể làm bất cứ điều gì để gây hại cho vườn nho của anh ta.
THEBEAST_CHOICE_B_COUPABLE_TITLE,"Basil, người nông dân."
THEBEAST_CHOICE_B_REASON_DESC,"Bằng cách khiến dân ta kinh hãi, thủ phạm muốn trục xuất họ khỏi thành phố và ngăn chặn người dân mới từ việc chuyển đến đây."
THEBEAST_CHOICE_B_REASON_TITLE,Để ngăn cản thêm người mới chuyển đến làng!
THEBEAST_CHOICE_C_ACOLYTE_DESC,Chắc chắn cô đã giúp đỡ tài chính cho thủ phạm.
THEBEAST_CHOICE_C_ACOLYTE_TITLE,Nữ hoàng Frygith!
THEBEAST_CHOICE_C_COUPABLE_DESC,Đó là người làm bánh! Anh ta giả vờ đã bị tấn công để tránh sự nghi ngờ! Thật là một kẻ mưu mẹo!
THEBEAST_CHOICE_C_COUPABLE_TITLE,Người làm bánh.
THEBEAST_CHOICE_C_REASON_DESC,"Nữ hoàng Frygith, hối tiếc về quyết định mở cửa biên giới, đã hợp sức với một số cư dân để làm kinh hãi dân nhập cư và đóng cửa biên giới!"
THEBEAST_CHOICE_C_REASON_TITLE,Âm mưu nhà nước.
TITLE_QUEST_001,Vườn của Eden
TITLE_QUEST_002,Cho qua nào
TITLE_QUEST_003,Giàu như Croesus
TITLE_QUEST_004,Mua lầm hàng
TITLE_QUEST_005,"Một, hai và ba"
TITLE_QUEST_006,Một con mắt tinh tường
TITLE_QUEST_007,Một cử chỉ hào phóng
TITLE_QUEST_008,Một món quà
TITLE_QUEST_009,Một món hời
TITLE_QUEST_010,Hành trình của người anh hùng
TITLE_QUEST_011,Niềm hy vọng
TITLE_QUEST_012,Một sự nghiệp cao cả
TITLE_QUEST_013,Chuyện nhỏ
TITLE_QUEST_014,Nguồn nước
TITLE_QUEST_015,Người nông dân giàu có
TITLE_QUEST_016,Chất đầy
TITLE_QUEST_017,Xưởng lớn
TITLE_QUEST_018,Vô hạn dồi dào
TITLE_QUEST_019,Còn một chặng đường
TITLE_QUEST_020,Ngày càng nhiều
TITLE_QUEST_021,Liều giải độc
TITLE_QUEST_022,Sẵn sàng
TITLE_QUEST_023,Tận tâm phục vụ
TITLE_QUEST_024,Lễ hội mùa thu
TITLE_QUEST_025,Trở lại công việc
TITLE_QUEST_026,Những bao lúa mì
TITLE_QUEST_027,Baa! Tiếng cừu kêu
TITLE_QUEST_028,Quả bóng len
TITLE_QUEST_029,Sẵn sàng lên đường
TITLE_QUEST_030,Cuộc sống thành thị
TITLE_QUEST_031,Đang nở rộ
TITLE_QUEST_032,Quý tộc
TITLE_QUEST_033,Mơ mộng về nước
TITLE_QUEST_034,Chúc ngon miệng!
TITLE_QUEST_035,Đống lửa lớn
TITLE_QUEST_036,Không phần vỏ bên ngoài
TITLE_QUEST_037,Bí kíp nghề nghiệp
TITLE_QUEST_038,Chúng ta có thể sửa chữa không?
TITLE_QUEST_039,Người ăn thịt
TITLE_QUEST_040,Nhanh như chớp
TITLE_QUEST_041,Khuôn mặt thợ mỏ
TITLE_QUEST_042,Bữa ăn sẵn sàng
TITLE_QUEST_043,Che chở cho tôi!
TITLE_QUEST_044,Phá hủy
TITLE_QUEST_045,Thần rượu
TITLE_QUEST_046,Đừng hoảng sợ
TITLE_QUEST_047,Đừng lo lắng
TITLE_QUEST_048,Chưa nghĩ ra
TITLE_QUEST_049,Quy tắc ăn mặc
TITLE_QUEST_050,Diện đẹp nhất
TITLE_QUEST_051,Đêm trước trận chiến
TITLE_QUEST_052,Giao hàng nhanh
TITLE_QUEST_053,Đừng tuyệt vọng
TITLE_QUEST_054,Chiến đấu đến cùng
TITLE_QUEST_055,Mỹ thuật
TITLE_QUEST_056,Bài học đầu tiên
TITLE_QUEST_057,Kinh doanh thịnh vượng
TITLE_QUEST_058,Vì dân tộc
TITLE_QUEST_059,Vì những người dũng cảm
TITLE_QUEST_060,Vì vua
TITLE_QUEST_061,Phong cách Ford
TITLE_QUEST_062,Tự do
TITLE_QUEST_063,Cá tươi
TITLE_QUEST_064,Chuyện ma
TITLE_QUEST_065,Phiếu ăn
TITLE_QUEST_066,Bánh gừng
TITLE_QUEST_067,Thời đại hoàng kim
TITLE_QUEST_068,Người có ngón tay xanh
TITLE_QUEST_069,Thợ sửa chữa
TITLE_QUEST_070,Giúp tôi với! Ai đó giúp tôi!
TITLE_QUEST_071,Bạn cần giúp đỡ không?
TITLE_QUEST_072,Bàn tay giúp đỡ
TITLE_QUEST_073,Kỳ nghỉ tuyệt vời
TITLE_QUEST_074,Ngôi nhà thân yêu
TITLE_QUEST_075,Nhanh lên!
TITLE_QUEST_076,Giữ cơ thể được cấp nước
TITLE_QUEST_077,Những cải tiến
TITLE_QUEST_078,Trong thời gian cách ly
TITLE_QUEST_079,Lần lượt
TITLE_QUEST_080,Lao vào cuộc chiến!
TITLE_QUEST_081,Thời đại Sắt
TITLE_QUEST_082,Không có gì to tát
TITLE_QUEST_083,Chín mọng
TITLE_QUEST_084,Cứ tiếp tục bơi
TITLE_QUEST_085,Đến đúng giờ
TITLE_QUEST_086,Bình tĩnh
TITLE_QUEST_087,Chúng ta hãy uống
TITLE_QUEST_088,Chúng ta hãy ăn
TITLE_QUEST_089,Vua suốt đời!
TITLE_QUEST_090,Tạo lập mạng nhện
TITLE_QUEST_091,Tỉ mỉ
TITLE_QUEST_092,Người xay lúa ngủ gật
TITLE_QUEST_093,Trại quân sự
TITLE_QUEST_094,Điều đi điều lại
TITLE_QUEST_095,Nước miếng tràn ra
TITLE_QUEST_096,Rượu vang nóng
TITLE_QUEST_097,Tình yêu của tôi
TITLE_QUEST_098,Bảo vật của tôi
TITLE_QUEST_099,Thợ may của tôi giàu có
TITLE_QUEST_100,Vở kịch Giáng sinh
TITLE_QUEST_101,Hàng xóm dễ thương
TITLE_QUEST_102,Cuộc sống mới
TITLE_QUEST_103,Không đình công
TITLE_QUEST_104,Không trong ca trực của tôi
TITLE_QUEST_105,Không nhanh như vậy!
TITLE_QUEST_106,Đang trực!
TITLE_QUEST_107,Miễn phí
TITLE_QUEST_108,Trên đường
TITLE_QUEST_109,Dân số của chúng ta
TITLE_QUEST_110,Những kẻ ngoại luật
TITLE_QUEST_111,Trên cung trăng
TITLE_QUEST_112,Đối tác mạnh mẽ
TITLE_QUEST_113,Thanh toán ngay
TITLE_QUEST_114,Hoàn hảo
TITLE_QUEST_115,Chơi với lửa
TITLE_QUEST_116,Mối đe dọa tiềm ẩn
TITLE_QUEST_117,Người phụ nữ xinh đẹp
TITLE_QUEST_118,Hành động ngay
TITLE_QUEST_119,Đồ uống của hoàng gia
TITLE_QUEST_120,Một ít thịt đỏ
TITLE_QUEST_121,Thạch anh
TITLE_QUEST_122,Chợp mắt
TITLE_QUEST_123,Trùng tu toàn diện
TITLE_QUEST_124,Xây dựng đường
TITLE_QUEST_125,Robin Hood
TITLE_QUEST_126,Câu chuyện về một kẻ lừa đảo
TITLE_QUEST_127,Làm giàu nhanh chóng
TITLE_QUEST_128,Nước chảy
TITLE_QUEST_129,Russian roulette
TITLE_QUEST_130,An toàn lên hàng đầu
TITLE_QUEST_131,Xưởng may
TITLE_QUEST_132,Với giáo và khiên
TITLE_QUEST_133,Vàng thau lẫn lộn...
TITLE_QUEST_134,Hồn cốt cũ kỹ
TITLE_QUEST_135,Lễ hội mùa xuân
TITLE_QUEST_136,Tượng của vua
TITLE_QUEST_137,Giữ vững tinh thần
TITLE_QUEST_138,Sự ngừng trệ
TITLE_QUEST_139,Cảm giác kỳ lạ
TITLE_QUEST_140,Rượu mùa hè
TITLE_QUEST_141,Lễ hội mùa hè
TITLE_QUEST_142,Hoạt động đáng ngờ
TITLE_QUEST_143,Lấy vàng của tôi đi
TITLE_QUEST_144,Thuế khóa
TITLE_QUEST_145,Một trăm người
TITLE_QUEST_146,Những nghệ sĩ
TITLE_QUEST_147,Rủi ro từ tên cướp
TITLE_QUEST_148,Những điều cần thiết
TITLE_QUEST_149,Vẻ đẹp
TITLE_QUEST_150,Thợ may nhỏ gan dạ
TITLE_QUEST_151,Nhà thờ lớn
TITLE_QUEST_152,Cuộc thi
TITLE_QUEST_153,Phương thuốc
TITLE_QUEST_154,Lời nguyền
TITLE_QUEST_155,Bữa tiệc
TITLE_QUEST_156,Những người bạn của hoa
TITLE_QUEST_157,Nơi tốt đẹp
TITLE_QUEST_158,Đám cưới hoàng tráng
TITLE_QUEST_159,Sự phát triển
TITLE_QUEST_160,Cuộc săn
TITLE_QUEST_161,Những ảnh hưởng
TITLE_QUEST_162,Phần sư tử
TITLE_QUEST_163,Dưới lòng đất
TITLE_QUEST_164,Bình phép
TITLE_QUEST_165,Lời cầu nguyện
TITLE_QUEST_166,Người bảo vệ
TITLE_QUEST_167,Giá của Tiếng Tăm
TITLE_QUEST_168,Lý do
TITLE_QUEST_169,Những dụng cụ đúng đắn
TITLE_QUEST_170,Con sông
TITLE_QUEST_171,Việc gieo trồng
TITLE_QUEST_172,Mũi nhọn
TITLE_QUEST_173,Như một con sóc
TITLE_QUEST_174,Thời đại đá
TITLE_QUEST_175,Cần có sự hỗ trợ
TITLE_QUEST_176,Từ lò ra
TITLE_QUEST_177,Hiệp hội thương mại
TITLE_QUEST_178,Chợ nông sản
TITLE_QUEST_179,Thời chiến
TITLE_QUEST_180,Ba Chú Chim Nhỏ
TITLE_QUEST_181,Uống một hơi
TITLE_QUEST_182,Cùng nhau
TITLE_QUEST_183,Hy vọng chúc may mắn
TITLE_QUEST_184,Chàng Townie Hood
TITLE_QUEST_185,Nhà trên cây
TITLE_QUEST_186,Cố gắng hết sức
TITLE_QUEST_187,Dưới áp lực
TITLE_QUEST_188,Thất nghiệp
TITLE_QUEST_189,Nghề làm rượu hữu cơ
TITLE_QUEST_190,Vừa huýt sáo vừa làm việc
TITLE_QUEST_191,Lễ hội mùa đông
TITLE_QUEST_192,Mùa đông đang đến
TITLE_QUEST_193,Chúc may mắn
TITLE_QUEST_194,Không một nếp nhăn
TITLE_QUEST_195,Lượm lặt
TITLE_QUEST_196,Cháy rừng
TITLE_QUEST_197,Chúc bạn may mắn
TITLE_QUEST_198,Lối sống Bohemian
TITLE_QUEST_199,Cái lò
TITLE_QUEST_200,Thêu dệt
TITLE_QUEST_201,Nhà làm bánh
TITLE_QUEST_202,Thịt nướng vừa chín tới
TITLE_QUEST_203,Nghệ thuật rèn
TITLE_QUEST_204,Người chăn cừu
TITLE_QUEST_205,Nơi chốn của chúng ta
TITLE_QUEST_206,Kim Cương Hy vọng
TITLE_QUEST_207,Thuộc về viện bảo tàng
TITLE_QUEST_208,Cẩn thận với mảnh vụn
TITLE_QUEST_209,Tuyến đường caravan
TITLE_QUEST_210,Tiền chuộc
TITLE_QUEST_211,Vương miện
TITLE_QUEST_212,Trong sâu thẳm của dòng sông
TITLE_QUEST_213,Đài tưởng niệm
TITLE_QUEST_214,Mãn nhãn
TITLE_QUEST_215,Những vị sư
TITLE_QUEST_216,Bảng thịt nguội
TITLE_QUEST_217,Que củi và viên đá
TITLE_QUEST_218,Bụi than đen
TITLE_QUEST_219,Thiếu hụt lương thực
TITLE_QUEST_220,Mầm non giòn tan
TITLE_QUEST_221,Dân cư số 5
TITLE_QUEST_222,Đình công!
TITLE_QUEST_223,Nghỉ ngơi nhẹ nhàng
TITLE_QUEST_224,Hậu quả
TITLE_QUEST_225,Hãy trở nên nguy hiểm!
TITLE_QUEST_226,"Không liều, không được làm hùng"
TITLE_QUEST_227,Kinh doanh rủi ro
TITLE_QUEST_228,Anh chàng khốn khổ
TITLE_QUEST_229,Kẻ keo kiệt
TITLE_QUEST_230,Kẻ giàu có
TITLE_QUEST_231,Sản lượng
TITLE_QUEST_232,Tiền công
TITLE_QUEST_233,Ngày thanh toán
TITLE_QUEST_234,Giá của sự thành công
TITLE_QUEST_235,Quần áo mới toanh
TITLE_QUEST_236,Trên đường săn lùng
TITLE_QUEST_237,Người làm đủ thứ
TITLE_QUEST_238,Ngày thanh toán
TITLE_QUEST_239,Xưởng da
TITLE_QUEST_240,Thợ rèn vũ khí
TITLE_QUEST_241,Công nghiệp
TITLE_QUEST_242,Làm vườn
TITLE_QUEST_243,Không còn chỗ
TITLE_QUEST_244,Bộ trang phục
TITLE_QUEST_245,Mắt người nhìn
TITLE_QUEST_246,Cần chuyên gia
TITLE_QUEST_247,Không còn nhiều thời gian
TITLE_QUEST_248,Khoa học
TITLE_QUEST_249,Triển khai quân đội
TITLE_QUEST_250,Nguồn cung cấp là yếu tố quan trọng nhất
TITLE_QUEST_251,Doanh trại
TITLE_QUEST_252,Phòng thủ
TITLE_QUEST_253,Tìm chỗ trốn!
TITLE_QUEST_254,Chặn lại họ
TITLE_QUEST_255,Con mắt cảnh giác
TITLE_QUEST_256,Mối đe dọa từ băng đảng
TITLE_QUEST_257,Lò mổ
TITLE_QUEST_258,Đủ là đủ rồi
TITLE_QUEST_259,Tôi sẽ đi đây
TITLE_QUEST_260,Vui vẻ lạc quan
TITLE_QUEST_261,Tôi chán rồi
TITLE_QUEST_262,Cuộc thám hiểm
TITLE_QUEST_263,Vì Danh dự của Giáo hội
TITLE_QUEST_264,Ngày thanh trừng
TUTORIAL_05_ASSIGN_GEOLOGIST_DESC,"Bây giờ ngài chỉ cần phái một địa chất sư đến mỏ, Đức Vua của chúng ta ạ. Họ sẽ từ từ làm cho các mỏ quặng khác trở nên có thể khai thác."
TUTORIAL_05_ASSIGN_GEOLOGIST_SUCCESS,Sẽ mất một chút thời gian cho đến khi địa chất sư có thể bổ sung thêm quặng vào mỏ.
TUTORIAL_05_ASSIGN_GEOLOGIST_TITLE,Phái một địa chất sư đến mỏ.
TUTORIAL_05_RESEARCH_GEOLOGIST_CONV_01,Mỏ quặng sắt của chúng ta đã cạn kiệt. Mỏ không thể khai thác thêm quặng nào nữa.
TUTORIAL_05_RESEARCH_GEOLOGIST_CONV_02,"Có một vài giải pháp khả dĩ, Đức Vua của chúng ta ạ. Một cách là tìm kiếm một mỏ quặng khác và xây dựng một mỏ tại đó. Đôi khi ngài có thể nhìn thấy quặng lấp lánh trên sườn đồi đá."
TUTORIAL_05_RESEARCH_GEOLOGIST_CONV_03,"Cách khác là nghiên cứu và mở khóa địa chất sư và phái họ đến mỏ cạn kiệt. Theo thời gian, họ sẽ giúp truy cập được nhiều mỏ quặng hơn. Cách này cũng đúng với cả những mảnh vàng và quặng sắt."
TUTORIAL_05_RESEARCH_GEOLOGIST_DESC,Mỏ quặng của chúng ta đã cạn kiệt. Sử dụng menu nghiên cứu để mở khóa địa chất sư. Ngài có thể tìm thấy họ trong danh mục “dân số”.
TUTORIAL_05_RESEARCH_GEOLOGIST_TITLE,Sử dụng nghiên cứu để có được một địa chất sư.
TUTORIAL_06_PLAGUE_QUESTLINE_CONV_01,"Một món quà nhỏ từ những người của tôi dành cho ngài, Thống đốc! Harharhar!"
TUTORIAL_06_UNHAPPY_QUESTLINE_CONV_01,Đức Vua của chúng ta ạ. Dân chúng sẽ rời bỏ làng của chúng ta từng chút một nếu như hạnh phúc của họ quá thấp.
TUTORIAL_06_UNHAPPY_QUESTLINE_CONV_02,"Ngài nên hành động ngay lập tức khi dân làng cảm thấy bất mãn. Ví dụ, ngài có thể giảm thuế."
T_ACCEPT,Accept
T_ACHIEVEMENTS_CATEGORY_ALL,Tất cả
T_ACHIEVEMENTS_CATEGORY_GENERAL,Chung
T_ACHIEVEMENTS_CATEGORY_MILITARY,Quân sự
T_ACHIEVEMENTS_CATEGORY_RESOURCES,Tài nguyên
T_ACHIEVEMENTS_CATEGORY_SCENARIOS,Kịch bản
T_ACHIEVEMENTS_CATEGORY_SPECIAL,Đặc biệt
T_ACHIEVEMENTS_CATEGORY_UNLOCKED,Đã mở khóa
T_ACHIEVEMENTS_POPUP_TITLE,Thành tựu
T_ACHIEVEMENTS_PUBLISH,Xuất bản
T_ACHIEVEMENT_ARTOFWAR_DESC,Thắng 100 trận đánh chống lại băng đảng cướp.
T_ACHIEVEMENT_ARTOFWAR_NAME,Nghệ thuật của chiến tranh
T_ACHIEVEMENT_AUTOTRADE_01_DESC,Thực hiện đồng thời 4 lệnh giao dịch tại Hội thương nhân.
T_ACHIEVEMENT_AUTOTRADE_01_NAME,Không còn là người buôn nhỏ lẻ
T_ACHIEVEMENT_AVALANCHE_MINES_DESC,Không để mất bất kỳ mỏ nào trong kịch bản 'Rủi ro Lở Tuyết'.
T_ACHIEVEMENT_AVALANCHE_MINES_NAME,"Chúc may mắn, thợ mỏ!"
T_ACHIEVEMENT_BITES_DUST_DESC,Đánh bại 50 tên cướp.
T_ACHIEVEMENT_BITES_DUST_NAME,Một tên khác đã ngã xuống
T_ACHIEVEMENT_BREAD1_DESC,Sản xuất 200 bánh mì trong một thị trấn.
T_ACHIEVEMENT_BREAD1_NAME,Bánh mì cho dân I
T_ACHIEVEMENT_BREAD2_DESC,Sản xuất 500 bánh mì trong một thị trấn.
T_ACHIEVEMENT_BREAD2_NAME,Bánh mì cho dân II
T_ACHIEVEMENT_BREAD3_DESC,Sản xuất 1000 bánh mì trong một thị trấn.
T_ACHIEVEMENT_BREAD3_NAME,Bánh mì cho dân III
T_ACHIEVEMENT_BREAD_NAME,Bánh mì cho dân
T_ACHIEVEMENT_BREWS_DESC,Sản xuất 1000 bình rượu trong một kịch bản.
T_ACHIEVEMENT_BREWS_NAME,Năm bình rượu là một schnitzel
T_ACHIEVEMENT_BUILDINGS1_DESC,Xây 10 công trình trong một thị trấn.
T_ACHIEVEMENT_BUILDINGS1_NAME,Tôi thích xây dựng... I
T_ACHIEVEMENT_BUILDINGS2_DESC,Xây 25 công trình trong một thị trấn.
T_ACHIEVEMENT_BUILDINGS2_NAME,Tôi thích xây dựng... II
T_ACHIEVEMENT_BUILDINGS3_DESC,Xây 50 công trình trong một thị trấn.
T_ACHIEVEMENT_BUILDINGS3_NAME,Tôi thích xây dựng... III
T_ACHIEVEMENT_BUILDINGS4_DESC,Xây 75 công trình trong một thị trấn.
T_ACHIEVEMENT_BUILDINGS4_NAME,Tôi thích xây dựng... IV
T_ACHIEVEMENT_BUILDINGS5_DESC,Xây 100 công trình trong một thị trấn.
T_ACHIEVEMENT_BUILDINGS5_NAME,Tôi thích xây dựng... V
T_ACHIEVEMENT_BUILDINGS_NAME,Tôi thích xây dựng...
T_ACHIEVEMENT_BURNEDDOWN1_DESC,Mất 100 công trình do hỏa hoạn.
T_ACHIEVEMENT_BURNEDDOWN1_NAME,Cứ để nó cháy!
T_ACHIEVEMENT_CLOTHES1_DESC,Sản xuất 200 trang phục trong một thị trấn.
T_ACHIEVEMENT_CLOTHES1_NAME,Bộ trang phục mới của Vua I
T_ACHIEVEMENT_CLOTHES2_DESC,Sản xuất 500 trang phục trong một thị trấn.
T_ACHIEVEMENT_CLOTHES2_NAME,Bộ trang phục mới của Vua II
T_ACHIEVEMENT_CLOTHES3_DESC,Sản xuất 1000 trang phục trong một thị trấn.
T_ACHIEVEMENT_CLOTHES3_NAME,Bộ trang phục mới của Vua III
T_ACHIEVEMENT_CLOTHES_NAME,Bộ trang phục mới của Vua
T_ACHIEVEMENT_DECO_CATEGORIES_DESC,Xây trang trí từ 8 hạng mục trang trí khác nhau.
T_ACHIEVEMENT_DECO_CATEGORIES_NAME,Người trang trí giàu kinh nghiệm
T_ACHIEVEMENT_ELECTION_FACTIONS_DESC,Thuyết phục tất cả phe phái trong kịch bản 'Ngày bầu cử'.
T_ACHIEVEMENT_ELECTION_FACTIONS_NAME,Giờ thì mọi người đều hài lòng
T_ACHIEVEMENT_FIRE1_DESC,Dập tắt 100 đám cháy của các công trình.
T_ACHIEVEMENT_FIRE1_NAME,Khi có hỏa hoạn...
T_ACHIEVEMENT_FIREPROTECTOR_DESC,"Trong một kịch bản, không để mất công trình nào do hỏa hoạn."
T_ACHIEVEMENT_FIREPROTECTOR_NAME,Thánh Florian
T_ACHIEVEMENT_FOUR_DESASTERS_DESC,Sống sót qua 4 thảm họa khác nhau trong một thị trấn.
T_ACHIEVEMENT_FOUR_DESASTERS_NAME,Người sống sót
